FECHA,HORA,SENSOR,TEMPERATURA,UNIDAD,HUMEDAD_%,ESTADO_BATERIA,DEVICE_ID,OTROS_DATOS
19/02/2026,13:31:32,Balcón,25.6,C,76,Media,eb007de949df61414afvyg,
19/02/2026,13:31:32,Interior,26.5,C,71,Alta,eb849849b3155b7110det4,
19/02/2026,13:45:01,Balcón,25.6,C,76,Media,eb007de949df61414afvyg,
19/02/2026,13:45:01,Interior,26.5,C,71,Alta,eb849849b3155b7110det4,
19/02/2026,14:00:01,Balcón,25.6,C,76,Media,eb007de949df61414afvyg,
19/02/2026,14:00:01,Interior,26.5,C,71,Alta,eb849849b3155b7110det4,
19/02/2026,14:15:01,Balcón,25.6,C,79,Media,eb007de949df61414afvyg,
19/02/2026,14:15:01,Interior,26.5,C,71,Alta,eb849849b3155b7110det4,
19/02/2026,14:30:01,Balcón,25.6,C,79,Media,eb007de949df61414afvyg,
19/02/2026,14:30:01,Interior,26.6,C,72,Alta,eb849849b3155b7110det4,
19/02/2026,14:45:01,Balcón,26.1,C,76,Media,eb007de949df61414afvyg,
19/02/2026,14:45:01,Interior,26.6,C,72,Alta,eb849849b3155b7110det4,
19/02/2026,15:00:10,Balcón,27.4,C,67,Media,eb007de949df61414afvyg,
19/02/2026,15:00:10,Interior,26.6,C,72,Alta,eb849849b3155b7110det4,
19/02/2026,15:15:01,Balcón,27.9,C,67,Media,eb007de949df61414afvyg,
19/02/2026,15:15:01,Interior,26.6,C,72,Alta,eb849849b3155b7110det4,
19/02/2026,15:30:01,Balcón,28.4,C,65,Media,eb007de949df61414afvyg,
19/02/2026,15:30:01,Interior,27,C,69,Media,eb849849b3155b7110det4,
19/02/2026,15:45:01,Balcón,28.9,C,62,Media,eb007de949df61414afvyg,
19/02/2026,15:45:01,Interior,27,C,69,Media,eb849849b3155b7110det4,
19/02/2026,16:00:01,Balcón,29.4,C,60,Media,eb007de949df61414afvyg,
19/02/2026,16:00:01,Interior,27,C,69,Media,eb849849b3155b7110det4,
19/02/2026,16:15:01,Balcón,29.4,C,60,Media,eb007de949df61414afvyg,
19/02/2026,16:15:01,Interior,27.2,C,69,Alta,eb849849b3155b7110det4,
19/02/2026,16:30:01,Balcón,29.9,C,59,Media,eb007de949df61414afvyg,
19/02/2026,16:30:01,Interior,27.2,C,69,Alta,eb849849b3155b7110det4,
19/02/2026,16:45:01,Balcón,30.4,C,58,Media,eb007de949df61414afvyg,
19/02/2026,16:45:01,Interior,27.2,C,69,Alta,eb849849b3155b7110det4,
19/02/2026,17:00:01,Balcón,32,C,55,Media,eb007de949df61414afvyg,
19/02/2026,17:00:01,Interior,27.2,C,69,Alta,eb849849b3155b7110det4,
19/02/2026,17:15:03,Balcón,32.7,C,51,Media,eb007de949df61414afvyg,
19/02/2026,17:15:03,Interior,26.7,C,67,Alta,eb849849b3155b7110det4,
19/02/2026,17:26:11,Balcón,33.7,C,51,Media,eb007de949df61414afvyg,
19/02/2026,17:26:11,Interior,26.7,C,67,Alta,eb849849b3155b7110det4,
19/02/2026,20:30:08,Balcón,27,C,70,Media,eb007de949df61414afvyg,
19/02/2026,20:30:08,Interior,27.6,C,64,Alta,eb849849b3155b7110det4,
19/02/2026,20:32:07,Balcón,27,C,70,Media,eb007de949df61414afvyg,
19/02/2026,20:32:07,Interior,27.6,C,64,Alta,eb849849b3155b7110det4,
19/02/2026,20:33:06,Balcón,27,C,70,Media,eb007de949df61414afvyg,
19/02/2026,20:33:06,Interior,27.6,C,64,Alta,eb849849b3155b7110det4,
19/02/2026,20:34:06,Balcón,27,C,70,Media,eb007de949df61414afvyg,
19/02/2026,20:34:06,Interior,27.6,C,64,Alta,eb849849b3155b7110det4,
19/02/2026,20:35:06,Balcón,27,C,70,Media,eb007de949df61414afvyg,
19/02/2026,20:35:06,Interior,27.6,C,64,Alta,eb849849b3155b7110det4,
19/02/2026,20:36:07,Balcón,27,C,70,Media,eb007de949df61414afvyg,
19/02/2026,20:36:07,Interior,27.6,C,64,Alta,eb849849b3155b7110det4,
19/02/2026,20:45:07,Balcón,26.5,C,71,Media,eb007de949df61414afvyg,
